Checked,G1 min,G1 max,G2 min,G2 max,G3 min,G3 max,G4 min,G4 max,G5 min,G5 max,G6 min,G6 max,G7 min,G7 max,G8 min,G8 max,G9 min,G9 max,G10 min,G10 max,T/F
0,0.016665,0.023336,0,0.017362,0.003333,0.006667,0,0.006667,0,0.006667,0,0.006667,0.003333,0.006667,0.009999,0.016668,0,0,0,0.00173,0.122727
0,0.016665,0.023336,0,0.017362,0.003333,0.006667,0,0.006667,0,0.006667,0,0.006667,0.003333,0.006667,0.009999,0.012267,0,0,0,0.00173,0.003108
0,0.016665,0.023336,0,0.017362,0.003333,0.006667,0,0.006667,0,0.006667,0,0.006667,0.003333,0.006667,0.012267,0.016668,0,0,0,0.00173,0.291347
-1,0.016665,0.023336,0,0.017362,0.003333,0.006667,0,0.006667,0,0.006667,0,0.006667,0.003333,0.006667,0.009999,0.011586,0,0,0,0.00173,0
-1,0.016665,0.023336,0,0.017362,0.003333,0.006667,0,0.006667,0,0.006667,0,0.006667,0.003333,0.006667,0.011586,0.012267,0,0,0,0.00173,0.035088
0,0.016665,0.023336,0,0.017362,0.003333,0.006667,0,0.006667,0,0.006667,0,0.006667,0.003333,0.004067,0.012267,0.016668,0,0,0,0.00173,0.06686
0,0.016665,0.023336,0,0.017362,0.003333,0.006667,0,0.006667,0,0.006667,0,0.006667,0.004067,0.006667,0.012267,0.016668,0,0,0,0.00173,0.427065
-1,0.016665,0.023336,0,0.017362,0.003333,0.004133,0,0.006667,0,0.006667,0,0.006667,0.003333,0.004067,0.012267,0.016668,0,0,0,0.00173,0
0,0.016665,0.023336,0,0.017362,0.004133,0.006667,0,0.006667,0,0.006667,0,0.006667,0.003333,0.004067,0.012267,0.016668,0,0,0,0.00173,0.098712
0,0.016665,0.023336,0,0.017362,0.003333,0.003933,0,0.006667,0,0.006667,0,0.006667,0.004067,0.006667,0.012267,0.016668,0,0,0,0.00173,0.061644
0,0.016665,0.023336,0,0.017362,0.003933,0.006667,0,0.006667,0,0.006667,0,0.006667,0.004067,0.006667,0.012267,0.016668,0,0,0,0.00173,0.553191
0,0.016665,0.023336,0,0.017362,0.004133,0.005096,0,0.006667,0,0.006667,0,0.006667,0.003333,0.004067,0.012267,0.016668,0,0,0,0.00173,0.285714
-1,0.016665,0.023336,0,0.017362,0.005096,0.006667,0,0.006667,0,0.006667,0,0.006667,0.003333,0.004067,0.012267,0.016668,0,0,0,0.00173,0.018405
-1,0.016665,0.023336,0,0.017362,0.003333,0.003933,0,0.006667,0,0.006667,0,0.006667,0.004067,0.006667,0.012267,0.014996,0,0,0,0.00173,0
-1,0.016665,0.023336,0,0.017362,0.003333,0.003933,0,0.006667,0,0.006667,0,0.006667,0.004067,0.006667,0.014996,0.016668,0,0,0,0.00173,0.140625
0,0.016665,0.023336,0,0.017362,0.003933,0.006667,0,0.006667,0,0.006667,0,0.006667,0.004067,0.006667,0.012267,0.016228,0,0,0,0.00173,0.617414
-1,0.016665,0.023336,0,0.017362,0.003933,0.006667,0,0.006667,0,0.006667,0,0.006667,0.004067,0.006667,0.016228,0.016668,0,0,0,0.00173,0
-1,0.016665,0.023336,0,0.017362,0.004133,0.005096,0,0.006667,0,0.006667,0,0.006667,0.003333,0.004067,0.012267,0.014379,0,0,0,0.00173,0
0,0.016665,0.023336,0,0.017362,0.004133,0.005096,0,0.006667,0,0.006667,0,0.006667,0.003333,0.004067,0.014379,0.016668,0,0,0,0.00173,0.425532
0,0.016665,0.023336,0,0.017362,0.003933,0.006667,0,0.006667,0,0.006667,0,0.006667,0.004067,0.006667,0.012267,0.013851,0,0,0,0.00173,0.337662
0,0.016665,0.023336,0,0.017362,0.003933,0.006667,0,0.006667,0,0.006667,0,0.006667,0.004067,0.006667,0.013851,0.016228,0,0,0,0.00173,0.808889
0,0.016665,0.023336,0,0.017362,0.004133,0.005096,0,0.006667,0,0.006667,0,0.006667,0.003333,0.004067,0.014379,0.016211,0,0,0,0.00173,0.588235
-1,0.016665,0.023336,0,0.017362,0.004133,0.005096,0,0.006667,0,0.006667,0,0.006667,0.003333,0.004067,0.016211,0.016668,0,0,0,0.00173,0
0,0.016665,0.023336,0,0.017362,0.003933,0.006667,0,0.006667,0,0.006667,0,0.000133,0.004067,0.006667,0.012267,0.013851,0,0,0,0.00173,0.390977
-1,0.016665,0.023336,0,0.017362,0.003933,0.006667,0,0.006667,0,0.006667,0.000133,0.006667,0.004067,0.006667,0.012267,0.013851,0,0,0,0.00173,0
